地名,センター,燃やせるごみ,燃やせないごみ,不燃性粗大ごみ,空きびん・古紙・乾電池・体温計,ペットボトル・白色トレイ・古布,空き缶,家電リサイクル,販売店・専門業者へ,その他
イ総社一丁目（本町・川崎・稲荷町）,吉備路クリーンセンター,火 金,水3,水2,水1,水2,水4,水1,水2,水3
総社二丁目（幸町・栄町の一部・宮本町の一部）,吉備路クリーンセンター,月 木,火3,水2,火1,火2,火4,,,
総社二丁目（元町・栄町の一部）,吉備路クリーンセンター,火 金,水3,水2,水1,水2,水4,,,
総社三丁目,吉備路クリーンセンター,月 木,火3,水2,火1,火2,火4,,,
中央三丁目,吉備路クリーンセンター,火 金,水3,水2,水1,水2,水4,,,
中央四丁目,吉備路クリーンセンター,火 金,水3,水2,水1,水2,水4,,,
中央五丁目,吉備路クリーンセンター,火 金,水3,水2,水1,水2,水4,,,
中央六丁目（中央文化筋より東）,吉備路クリーンセンター,火 金,水3,水2,水1,水2,水4,,,
総社（諸上）,吉備路クリーンセンター,月 木,火3,水2,火1,火2,火4,,,
総社（西山・北宮本町の一部）,吉備路クリーンセンター,火 金,月3,水1,月1,月2,月4,,,
井手（井手・出張・天原・清水）,吉備路クリーンセンター,月 木,火3,水2,火1,火2,火4,,,
井手（延・富江）,吉備路クリーンセンター,火 金,木3,水3,木1,木2,木4,,,
刑部,吉備路クリーンセンター,火 金,月3,水1,月1,月2,月4,,,
福井,吉備路クリーンセンター,火 金,月3,水1,月1,月2,月4,,,
泉南（１～８）,吉備路クリーンセンター,月 木,金3,水4,金1,金2,金4,,,
小寺,吉備路クリーンセンター,月 木,水3,水2,水1,水2,水4,,,
小寺の一部（兎登木・新田）,吉備路クリーンセンター,月 木,金3,水4,金1,金2,金4,,,
真壁（八神）,吉備路クリーンセンター,火 金,水3,水2,水1,水2,水4,,,
三須,吉備路クリーンセンター,火 金,木3,水3,木1,木2,木4,,,
上林,吉備路クリーンセンター,火 金,木3,水3,木1,木2,木4,,,
下林,吉備路クリーンセンター,火 金,木3,水3,木1,木2,木4,,,
赤浜,吉備路クリーンセンター,火 金,木3,水3,木1,木2,木4,,,
金井戸,吉備路クリーンセンター,月 木,金3,水3,金1,金2,金4,,,
金井戸の一部（警察官舎）,吉備路クリーンセンター,月 木,火3,水2,火1,火2,火4,,,
南溝手,吉備路クリーンセンター,月 木,金3,水3,金1,金2,金4,,,
北溝手,吉備路クリーンセンター,月 木,金3,水3,金1,金2,金4,,,
窪木,吉備路クリーンセンター,月 木,金3,水3,金1,金2,金4,,,
長良,吉備路クリーンセンター,月 木,金3,水3,金1,金2,金4,,,
東阿曽,吉備路クリーンセンター,月 木,金3,水1,金1,金2,金4,,,
西阿曽,吉備路クリーンセンター,月 木,金3,水1,金1,金2,金4,,,
奥坂,吉備路クリーンセンター,月 木,金3,水1,金1,金2,金4,,,
久米,吉備路クリーンセンター,月 木,金3,水1,金1,金2,金4,,,
黒尾,吉備路クリーンセンター,月 木,金3,水1,金1,金2,金4,,,
槙谷,吉備路クリーンセンター,火 金,月3,水1,月1,月2,月4,,,
見延,吉備路クリーンセンター,火 金,月3,水1,月1,月2,月4,,,
宍粟,吉備路クリーンセンター,火 金,月3,水1,月1,月2,月4,,,
美袋,吉備路クリーンセンター,火 金,木3,水4,木1,木2,木4,,,
日羽,吉備路クリーンセンター,火 金,木3,水4,木1,木2,木4,,,
原,吉備路クリーンセンター,火 金,木3,水4,木1,木2,木4,,,
中尾,吉備路クリーンセンター,火 金,木3,水4,木1,木2,木4,,,
影,吉備路クリーンセンター,火 金,木3,水4,木1,木2,木4,,,
下倉,吉備路クリーンセンター,火 金,木3,水4,木1,木2,木4,,,
種井,吉備路クリーンセンター,火 金,木3,水4,木1,木2,木4,,,
駅前一丁目,吉備路クリーンセンター,月 木,火1,水1,火2,火3,火4,,,
駅前二丁目,吉備路クリーンセンター,火 金,月1,水1,月2,月3,月4,,,
中央一丁目,吉備路クリーンセンター,火 金,月1,水1,月2,月3,月4,,,
中央一丁目（県営住宅）,吉備路クリーンセンター,火 金,木1,水1,木2,木3,木4,,,
中央二丁目,吉備路クリーンセンター,月 木,火1,水1,火2,火3,火4,,,
中央六丁目の一部（中央文化筋より西）,吉備路クリーンセンター,火 金,木1,水1,木2,木3,木4,,,
総社一丁目（西田町・北田町・東田町）,吉備路クリーンセンター,月 木,火1,水1,火2,火3,火4,,,
総社（総社駅西）,吉備路クリーンセンター,火 金,月1,水2,月2,月3,月4,,,
真壁（石原・雇用促進住宅）,吉備路クリーンセンター,火 金,木1,水1,木2,木3,木4,,,
三輪の一部（県道倉敷総社線より東の上三輪）,吉備路クリーンセンター,火 金,木1,水1,木2,木3,木4,,,
泉北（９～１６）,吉備路クリーンセンター,月 木,金1,水4,金2,金3,金4,,,
福井の一部（泉北ニュータウン）,吉備路クリーンセンター,月 木,金1,水4,金2,金3,金4,,,
小寺の一部（反下の一部）,吉備路クリーンセンター,月 木,金1,水4,金2,金3,金4,,,
門田,吉備路クリーンセンター,月 木,金1,水4,金2,金3,金4,,,
井尻野,吉備路クリーンセンター,月 木,金1,水4,金2,金3,金4,,,
溝口,吉備路クリーンセンター,火 金,月1,水2,月2,月3,月4,,,
真壁,吉備路クリーンセンター,火 金,月1,水2,月2,月3,月4,,,
中原,吉備路クリーンセンター,火 金,月1,水2,月2,月3,月4,,,
三輪,吉備路クリーンセンター,火 金,木1,水2,木2,木3,木4,,,
奏,吉備路クリーンセンター,火 金,木1,水3,木2,木3,木4,,,
福谷,吉備路クリーンセンター,火 金,木1,水3,木2,木3,木4,,,
上原,吉備路クリーンセンター,火 金,木1,水3,木2,木3,木4,,,
富原,吉備路クリーンセンター,火 金,木1,水3,木2,木3,木4,,,
八代,吉備路クリーンセンター,火 金,木1,水3,木2,木3,木4,,,
下原,吉備路クリーンセンター,火 金,木1,水3,木2,木3,木4,,,
久代,吉備路クリーンセンター,月 木,水1,水3,水2,水3,水4,,,
山田,吉備路クリーンセンター,月 木,水1,水3,水2,水3,水4,,,
新本,吉備路クリーンセンター,月 木,水1,水3,水2,水3,水4,,,
山手地区,吉備路クリーンセンター,火 金,水2,水1,水3,水1,水4,,,
清音地区,吉備路クリーンセンター,月 木,水2,水1,水3,水1,水4,,,
